Publish Date,Organization,Source Country,Product Name,Manufacturer (as displayed),Distributor,Reason,More Info,URL
2026-03-12,National Agency for Food and Drug Administration and Control (NAFDAC),Nigeria,Avastin,,,Alert on Confirmed Counterfeit of Avastin 400mg/ 16ml and Tecentriq 1200mg/20ml in Nigeria,"Batch Number: H4239A70, H2290A34, A3508B02, B3071A12 Expiry Date: 10/2026, 05/2027, 12/2026, 01/10/2026",https://nafdac.gov.ng/public-alert-no-015-2026-alert-on-confirmed-counterfeit-of-avastin-400mg-16ml-and-tecentriq-1200mg-20ml-in-nigeria/
2026-03-12,National Agency for Food and Drug Administration and Control (NAFDAC),Nigeria,Herceptin,"F.Hoffmann-La Roche Ltd, Kaiseraugust, Switzerland",,Alert on Confirmed Counterfeit of Herceptin 600 mg in Nigeria,Batch Number: A8519B34 Expiry Date: 11/2026,https://nafdac.gov.ng/public-alert-no-017-2026-alert-on-confirmed-counterfeit-of-herceptin-600-mg-in-nigeria/
2026-03-08,National Agency for Food and Drug Administration and Control (NAFDAC),Nigeria,Phesgo,,,Alert on Confirmed Counterfeits PHESGO 600mg With Batch Numbers B2346B16 and C3809C5,"Batch Number: C3809C51, B2346B16 Expiry Date: 01/2026, 05/2028",https://nafdac.gov.ng/public-alert-no-014-2026-alert-on-confirmed-counterfeits-phesgo-600mg-with-batch-numbers-b2346b16-and-c3809c5/
2026-01-21,U.S. Food and Drug Administration (FDA),United States,Lanreotide,,,Presence of Particulate Matter.,"Lanreotide Injection, 120 mg/0.5 mL, 0.5 mL per pre-filled syringe, For deep subcutaneous injection, Rx Only, Manufactured for: Cipla USA, Inc., 10 Independence Boulevard, Suite 300, Warren, NJ 07059.  NDC:  69097-870-67 Lot, expiry:   4301954IR1 , exp  31/10/2026 ;  4301994IR1 , exp  31/10/2026 ;  4301995IR1 , exp  31/10/2026 ;  4301996IR1 , exp  31/10/2026 ;  4400005IR1 , exp  30/11/2026 ;  4400006IR1 , exp  30/11/2026 ;  4400007IR1 , exp  30/11/2026 ;  4400124IR1 , exp  30/11/2026 ;  4400154IR1 , exp  30/11/2026 ;  4400155IR1 , exp  30/11/2026 ;  4400156IR1 , exp  30/11/2026 ;  4400373IR1 , exp  31/12/2026 ;  4400374IR1 , exp  31/12/2026 ;  4400375IR1 , exp  31/12/2026 ;  4400455IR1 , exp  31/1/2027 ;  4400456IR1 , exp  31/1/2027 ;  4400457IR1 , exp  31/1/2027 ;  4400544IR1 , exp  28/2/2027 ;  4400606IR1 , exp  28/2/2027 ;  4400607IR1 , exp  28/2/2027 ;  4400696IR1 , exp  28/2/2027 ;  4400697IR1 , exp  28/2/2027 ;  4400779IR1 , exp  28/2/2027 ;  4400780IR1 , exp  28/2/2027 ;  4400781IR1 , exp  28/2/2027 ;  4400844IR1 , exp  31/3/2027 ;  4400845IR1 , exp  31/3/2027 ;  4400849IR1 , exp  31/3/2027 ;  4400984IR1 , exp  31/3/2027 ;  4400985RIR , exp  31/3/2027 ;  4400986IR1 , exp  31/3/2027 ;  4401023IR1 , exp  31/3/2027 ;",https://api.fda.gov/drug/enforcement.json?search=event_id:98247
2026-01-14,U.S. Food and Drug Administration (FDA),United States,Dexamethasone,,,Presence of particulate matter - Glass like particles.,"Dexamethasone   Moxifloxacin, 1 mg/mL and 5 mg/mL, 1 mL Intraocular Injection, Rx only, Imprimis NJOF, LLC, Ledgewood, NJ 07852, NDC 71384-512-0.1 Lot: 25MAY051, Expires: 06/26/2026; 25AUG003, Expires:08/07/2026",https://api.fda.gov/drug/enforcement.json?search=event_id:98181
2026-01-07,U.S. Food and Drug Administration (FDA),United States,Ondansetron,,,"Defective container: Preferred Pharmaceuticals received a letter from the manufacturer Glenmark, that the blister packs are not fully sealed and tablets falling out. Preferred Pharmaceuticals purchased the finished product and repackaged the product for sale.","Ondansetron Orally Disintegrating Tablets, USP, 4mg, 30 Tablets (3 blistercards each containing 10 tablets), Rx only, Manufactured for: Glenmark Pharmaceuticals Inc., USA Mahwah, NJ 07430, Product of India, NDC 68462-157-13 Lot #: 19251311, Exp Date April 2027",https://api.fda.gov/drug/enforcement.json?search=event_id:98233
2025-12-24,U.S. Food and Drug Administration (FDA),United States,Ondansetron,Glenmark Pharmaceuticals Limited,,"Defective container: Preferred Pharmaceuticals received a letter from the manufacturer Glenmark, that the blister packs are not fully sealed and tablets falling out. Preferred Pharmaceuticals purchased the finished product and repackaged the product for sale.","Ondansetron ODT Tablets, USP 4mg,  1x10 unit dose tablets, Mfg: Glenmark Pharmaceuticals Limited, Repackaged by Preferred Pharmaceuticals NDC 68788-8666-01 Lot: J1325J, I1725P, EXP Date:  4/30/2027.",https://api.fda.gov/drug/enforcement.json?search=event_id:98141
2025-12-10,Health Canada,Canada,Yescarta,,,New safety information,New safety information. Important Safety Information on Yescarta (axicabtagene ciloleucel) and the Risk of Cerebral Edema in Primary Mediastinal B Cell Lymphoma (PMBCL),https://recalls-rappels.canada.ca/en/alert-recall/important-safety-information-yescarta-axicabtagene-ciloleucel-and-risk-cerebral-edema
2025-11-05,U.S. Food and Drug Administration (FDA),United States,Everolimus,Par Pharmaceutical Chestnut Ridge,,Failed Impurities/Degradation Specifications: Out of specification for impurity IP-C.,"Everolimus tablets 5mg, 28 tablets (each carton contains 4 blister strips with 7 tablets each), Rx only, Manufactured by: Par Pharmaceutical Chestnut Ridge, NY 10977 NDC# 49884-125-91 Lot #: 550184901, 550185001, Exp. Date MAR-26; 550189901, 550190001, Exp. Date APR-26 550203901, 550205601, Exp. Date Jul-26",https://api.fda.gov/drug/enforcement.json?search=event_id:97866
2025-10-29,U.S. Food and Drug Administration (FDA),United States,Opdualag,,,Lack of Assurance of Sterility.,"Opdualag (nivolumab and relatlimab-rmbw) injection, 240 mg and 80 mg/20 mL (12mg and 4mg/mL),Single Dose Vial, RX Only, Bristol-Myers Squibb Company, Princeton, NJ 08543, NDC 0003-7125-11 Lot: 033A23B, Expiry: 4/30/2026",https://api.fda.gov/drug/enforcement.json?search=event_id:97839
